full_workflow_name,execution_time_seconds,repo,workflow_file,loc,num_jobs,num_triggers,trigger_types,num_reused_actions
Significant-Gravitas_AutoGPT__repo-pr-enforce-base-branch.yml,13.0317,Significant-Gravitas/AutoGPT,repo-pr-enforce-base-branch.yml,21,1,1,pull_request_target,0
freeCodeCamp_freeCodeCamp__crowdin-upload.curriculum.yml,13.1607,freeCodeCamp/freeCodeCamp,crowdin-upload.curriculum.yml,75,1,2,"workflow_dispatch, schedule",7
vercel_next.js__build_and_test.yml,13.4905,vercel/next.js,build_and_test.yml,916,41,2,"push, pull_request",42
huggingface_transformers__stale.yml,13.6433,huggingface/transformers,stale.yml,29,1,1,schedule,2
facebook_fbthrift__getdeps_linux.yml,13.3831,facebook/fbthrift,getdeps_linux.yml,597,1,2,"push, pull_request",60
microsoft_vscode__no-package-lock-changes.yml,13.6147,microsoft/vscode,no-package-lock-changes.yml,51,1,1,pull_request,2
n8n-io_n8n__benchmark-nightly.yml,13.3753,n8n-io/n8n,benchmark-nightly.yml,104,1,2,"schedule, workflow_dispatch",5
flutter_flutter__merge-changelog.yml,13.7018,flutter/flutter,merge-changelog.yml,58,1,1,push,1
facebook_rocksdb__pr-jobs-candidate.yml,15.8531,facebook/rocksdb,pr-jobs-candidate.yml,47,2,1,workflow_dispatch,8
google_dagger__release.yml,15.318,google/dagger,release.yml,160,8,1,workflow_dispatch,19
Significant-Gravitas_AutoGPT__classic-python-checks.yml,16.5757,Significant-Gravitas/AutoGPT,classic-python-checks.yml,151,3,2,"push, pull_request",8
IBM_sarama__ci.yml,14.857,IBM/sarama,ci.yml,79,2,3,"merge_group, push, pull_request",5
avelino_awesome-go__check-for-spammy-issues.yml,14.4882,avelino/awesome-go,check-for-spammy-issues.yml,14,1,1,issues,1
huggingface_transformers__self-push-amd-mi210-caller.yml,15.1413,huggingface/transformers,self-push-amd-mi210-caller.yml,25,1,1,push,1
google_auto__ci.yml,14.025,google/auto,ci.yml,97,3,2,"push, pull_request",10
google_go-github__tests.yml,13.538,google/go-github,tests.yml,81,1,2,"push, pull_request",4
huggingface_transformers__self-comment-ci.yml,13.3593,huggingface/transformers,self-comment-ci.yml,416,8,1,issue_comment,6
facebook_folly__oss-build-and-test.yml,13.6787,facebook/folly,oss-build-and-test.yml,147,4,3,"push, pull_request, workflow_dispatch",17
ytdl-org_youtube-dl__ci.yml,13.6838,ytdl-org/youtube-dl,ci.yml,482,3,3,"push, pull_request, workflow_dispatch",8
nodejs_node__timezone-update.yml,13.2303,nodejs/node,timezone-update.yml,72,1,2,"schedule, workflow_dispatch",3
TheAlgorithms_Python__sphinx.yml,13.6429,TheAlgorithms/Python,sphinx.yml,50,2,3,"push, pull_request, workflow_dispatch",6
langgenius_dify__docker-build.yml,13.2369,langgenius/dify,docker-build.yml,48,1,1,pull_request,3
tensorflow_tensorflow__update-rbe.yml,13.5062,tensorflow/tensorflow,update-rbe.yml,143,1,1,workflow_dispatch,2
langchain-ai_langchain__check_new_docs.yml,13.7133,langchain-ai/langchain,check_new_docs.yml,35,1,2,"push, pull_request",3
tensorflow_tensorflow__update-nightly.yml,13.7606,tensorflow/tensorflow,update-nightly.yml,34,1,2,"workflow_dispatch, schedule",1
facebook_react-native__stale-bot.yml,13.5955,facebook/react-native,stale-bot.yml,77,4,1,schedule,4
excalidraw_excalidraw__cancel.yml,13.4616,excalidraw/excalidraw,cancel.yml,17,1,2,"push, pull_request",1
freeCodeCamp_freeCodeCamp__e2e-playwright.yml,13.3976,freeCodeCamp/freeCodeCamp,e2e-playwright.yml,178,3,3,"workflow_dispatch, workflow_run, pull_request",13
oracle_opengrok__codeql-analysis.yml,13.5787,oracle/opengrok,codeql-analysis.yml,39,1,3,"push, pull_request, schedule",5
facebook_react__shared_lint.yml,13.7879,facebook/react,shared_lint.yml,110,4,2,"push, pull_request",12
Significant-Gravitas_AutoGPT__classic-benchmark_publish_package.yml,13.7331,Significant-Gravitas/AutoGPT,classic-benchmark_publish_package.yml,55,1,1,workflow_dispatch,3
huggingface_transformers__model_jobs.yml,13.5545,huggingface/transformers,model_jobs.yml,142,1,1,workflow_call,1
Significant-Gravitas_AutoGPT__repo-workflow-checker.yml,13.3124,Significant-Gravitas/AutoGPT,repo-workflow-checker.yml,32,1,2,"pull_request, merge_group",2
huggingface_transformers__slack-report.yml,14.2432,huggingface/transformers,slack-report.yml,93,1,1,workflow_call,3
mrdoob_three.js__ci.yml,13.347,mrdoob/three.js,ci.yml,114,5,1,pull_request,11
excalidraw_excalidraw__size-limit.yml,13.9138,excalidraw/excalidraw,size-limit.yml,28,1,1,pull_request,3
n8n-io_n8n__check-documentation-urls.yml,13.6397,n8n-io/n8n,check-documentation-urls.yml,47,1,3,"release, schedule, workflow_dispatch",3
freeCodeCamp_freeCodeCamp__deploy-client.yml,13.8452,freeCodeCamp/freeCodeCamp,deploy-client.yml,223,2,1,workflow_dispatch,4
langchain-ai_langchain__check_core_versions.yml,14.3303,langchain-ai/langchain,check_core_versions.yml,29,1,1,pull_request,1
TheAlgorithms_Python__build.yml,14.3346,TheAlgorithms/Python,build.yml,37,1,2,"pull_request, schedule",3
krahets_hello-algo__ruby.yml,13.6341,krahets/hello-algo,ruby.yml,37,1,3,"push, pull_request, workflow_dispatch",2
electron_electron__linux-publish.yml,13.4786,electron/electron,linux-publish.yml,87,4,1,workflow_dispatch,5
nodejs_node__tools.yml,13.3283,nodejs/node,tools.yml,319,1,2,"schedule, workflow_dispatch",3
huggingface_transformers__self-scheduled-amd-caller.yml,13.8945,huggingface/transformers,self-scheduled-amd-caller.yml,14,1,1,schedule,0
alibaba_tengine__test-ntls.yml,13.9987,alibaba/tengine,test-ntls.yml,101,1,2,"push, pull_request",5
freeCodeCamp_freeCodeCamp__docker-docr-cleanup.yml,13.6495,freeCodeCamp/freeCodeCamp,docker-docr-cleanup.yml,53,1,2,"workflow_dispatch, schedule",3
n8n-io_n8n__release-push-to-channel.yml,14.0515,n8n-io/n8n,release-push-to-channel.yml,119,5,1,workflow_dispatch,3
public-apis_public-apis__test_of_push_and_pull.yml,13.4787,public-apis/public-apis,test_of_push_and_pull.yml,37,1,2,"push, pull_request",2
facebook_react-native__publish-release.yml,13.8295,facebook/react-native,publish-release.yml,239,13,1,push,23
facebook_watchman__release.yml,13.2747,facebook/watchman,release.yml,367,14,1,push,37
vercel_next.js__test_e2e_deploy_release.yml,13.7546,vercel/next.js,test_e2e_deploy_release.yml,88,3,2,"release, workflow_dispatch",4
rust-lang_rust__ci.yml,13.6237,rust-lang/rust,ci.yml,335,3,2,"push, pull_request",5
krahets_hello-algo__c.yml,13.799,krahets/hello-algo,c.yml,72,1,3,"push, pull_request, workflow_dispatch",1
n8n-io_n8n__ci-pull-requests.yml,13.4302,n8n-io/n8n,ci-pull-requests.yml,103,4,1,pull_request,11
facebook_react__shared_cleanup_stale_branch_caches.yml,13.2859,facebook/react,shared_cleanup_stale_branch_caches.yml,36,1,2,"schedule, workflow_dispatch",0
n8n-io_n8n__check-run-eligibility.yml,13.3076,n8n-io/n8n,check-run-eligibility.yml,109,1,1,workflow_call,2
IBM_sarama__i386.yml,13.5697,IBM/sarama,i386.yml,47,1,3,"merge_group, push, pull_request",2
axios_axios__codeql-analysis.yml,13.1509,axios/axios,codeql-analysis.yml,47,1,3,"push, pull_request, schedule",3
twbs_bootstrap__docs.yml,13.2279,twbs/bootstrap,docs.yml,50,1,3,"push, pull_request, workflow_dispatch",3
axios_axios__sponsors.yml,13.8776,axios/axios,sponsors.yml,72,1,3,"workflow_dispatch, repository_dispatch, schedule",3
freeCodeCamp_freeCodeCamp__curriculum-i18n-submodule.yml,13.6348,freeCodeCamp/freeCodeCamp,curriculum-i18n-submodule.yml,70,1,2,"push, workflow_dispatch",3
n8n-io_n8n__check-pr-title.yml,13.5533,n8n-io/n8n,check-pr-title.yml,36,1,1,pull_request,3
facebook_rocksdb__benchmark-linux.yml,14.3252,facebook/rocksdb,benchmark-linux.yml,15,1,1,workflow_dispatch,4
huggingface_transformers__build-docker-images.yml,13.7304,huggingface/transformers,build-docker-images.yml,355,8,4,"push, repository_dispatch, workflow_call, schedule",43
n8n-io_n8n__units-tests-reusable.yml,13.5651,n8n-io/n8n,units-tests-reusable.yml,83,1,1,workflow_call,5
nodejs_node__auto-start-ci.yml,13.6025,nodejs/node,auto-start-ci.yml,75,2,1,schedule,2
microsoft_PowerToys__package-submissions.yml,13.7285,microsoft/PowerToys,package-submissions.yml,38,1,2,"workflow_dispatch, release",0
excalidraw_excalidraw__autorelease-excalidraw.yml,14.0421,excalidraw/excalidraw,autorelease-excalidraw.yml,27,1,1,push,2
n8n-io_n8n__e2e-tests-pr.yml,13.4698,n8n-io/n8n,e2e-tests-pr.yml,79,3,1,pull_request_review,3
facebook_react__compiler_prereleases_manual.yml,13.7305,facebook/react,compiler_prereleases_manual.yml,37,1,1,workflow_dispatch,1
facebook_react-native__monitor-new-issues.yml,14.1368,facebook/react-native,monitor-new-issues.yml,45,1,2,"schedule, workflow_dispatch",4
oracle_opengrok__apiary.yml,13.8248,oracle/opengrok,apiary.yml,23,1,2,"push, pull_request",1
huggingface_transformers__self-scheduled.yml,14.1921,huggingface/transformers,self-scheduled.yml,536,10,1,workflow_call,11
vercel_next.js__retry_test.yml,13.5128,vercel/next.js,retry_test.yml,63,2,1,workflow_run,1
nodejs_node__coverage-linux.yml,13.9318,nodejs/node,coverage-linux.yml,84,1,2,"pull_request, push",4
facebook_watchman__package.yml,14.1714,facebook/watchman,package.yml,56,2,1,push,5
facebook_react-native__test-libraries-on-nightlies.yml,13.4018,facebook/react-native,test-libraries-on-nightlies.yml,100,3,1,workflow_call,7
nodejs_node__close-stale-feature-requests.yml,13.6956,nodejs/node,close-stale-feature-requests.yml,56,1,2,"workflow_dispatch, schedule",1
goldbergyoni_nodebestpractices__automerge-prs.yml,13.8422,goldbergyoni/nodebestpractices,automerge-prs.yml,33,1,4,"pull_request, pull_request_review, check_suite, status",1
Significant-Gravitas_AutoGPT__classic-forge-ci.yml,13.9664,Significant-Gravitas/AutoGPT,classic-forge-ci.yml,243,1,2,"push, pull_request",7
twbs_bootstrap__css.yml,13.4838,twbs/bootstrap,css.yml,40,1,3,"push, pull_request, workflow_dispatch",2
oracle_graal__quarkus.yml,13.677,oracle/graal,quarkus.yml,183,2,3,"pull_request, schedule, workflow_dispatch",9
flutter_flutter__content-aware-hash.yml,13.8987,flutter/flutter,content-aware-hash.yml,26,1,1,workflow_dispatch,1
vercel_next.js__build_reusable.yml,14.6177,vercel/next.js,build_reusable.yml,298,1,1,workflow_call,9
google_blockly__assign_reviewers.yml,13.3691,google/blockly,assign_reviewers.yml,43,1,1,pull_request_target,1
huggingface_transformers__self-scheduled-caller.yml,14.3235,huggingface/transformers,self-scheduled-caller.yml,113,7,4,"repository_dispatch, schedule, push, workflow_dispatch",7
huggingface_transformers__add-model-like.yml,13.9978,huggingface/transformers,add-model-like.yml,80,1,1,push,3
Significant-Gravitas_AutoGPT__platform-autgpt-deploy-prod.yml,13.9834,Significant-Gravitas/AutoGPT,platform-autgpt-deploy-prod.yml,50,2,1,release,3
denoland_deno__promote_to_release.yml,14.0294,denoland/deno,promote_to_release.yml,171,2,1,workflow_dispatch,10
electron_electron__pipeline-electron-lint.yml,13.6095,electron/electron,pipeline-electron-lint.yml,84,1,1,workflow_call,3
Significant-Gravitas_AutoGPT__classic-autogpt-docker-cache-clean.yml,13.8791,Significant-Gravitas/AutoGPT,classic-autogpt-docker-cache-clean.yml,60,1,1,schedule,3
huggingface_transformers__update_metdata.yml,14.1723,huggingface/transformers,update_metdata.yml,27,1,1,push,1
freeCodeCamp_freeCodeCamp__i18n-validate-builds.yml,12.9218,freeCodeCamp/freeCodeCamp,i18n-validate-builds.yml,44,1,1,push,3
facebook_create-react-app__lint.yml,13.528,facebook/create-react-app,lint.yml,21,1,2,"push, pull_request",2
vercel_next.js__code_freeze.yml,13.6788,vercel/next.js,code_freeze.yml,47,1,1,workflow_dispatch,1
electron_electron__build-git-cache.yml,14.248,electron/electron,build-git-cache.yml,74,3,1,schedule,6
nodejs_node__update-wpt.yml,13.5993,nodejs/node,update-wpt.yml,87,1,2,"schedule, workflow_dispatch",3
huggingface_transformers__model_jobs_intel_gaudi.yml,13.2728,huggingface/transformers,model_jobs_intel_gaudi.yml,121,1,1,workflow_call,2
facebook_mcrouter__build.yml,13.2772,facebook/mcrouter,build.yml,24,1,2,"push, pull_request",1
nodejs_node__update-release-links.yml,13.4605,nodejs/node,update-release-links.yml,20,1,2,"workflow_dispatch, release",0
tensorflow_tensorflow__cffconvert.yml,13.2356,tensorflow/tensorflow,cffconvert.yml,38,1,1,push,2
krahets_hello-algo__python.yml,13.9551,krahets/hello-algo,python.yml,41,1,3,"push, pull_request, workflow_dispatch",2
facebook_react-native__autorebase.yml,13.8904,facebook/react-native,autorebase.yml,27,1,1,issue_comment,2
axios_axios__publish.yml,13.8409,axios/axios,publish.yml,84,2,2,"pull_request, workflow_dispatch",8
vercel_next.js__trigger_release.yml,13.7613,vercel/next.js,trigger_release.yml,110,1,2,"schedule, workflow_dispatch",2
oracle_opengrok__release.yml,13.6856,oracle/opengrok,release.yml,64,2,1,release,6
IBM_sarama__apidiff.yml,13.7138,IBM/sarama,apidiff.yml,55,1,3,"merge_group, push, pull_request",3
huggingface_transformers__build-nightly-ci-docker-images.yml,13.4302,huggingface/transformers,build-nightly-ci-docker-images.yml,67,2,2,"workflow_call, push",8
facebook_react-native__on-issue-labeled.yml,14.1053,facebook/react-native,on-issue-labeled.yml,60,2,1,issues,5
vercel_next.js__graphite_ci_optimizer.yml,13.1311,vercel/next.js,graphite_ci_optimizer.yml,51,1,1,workflow_call,1
nodejs_node__create-release-proposal.yml,13.4935,nodejs/node,create-release-proposal.yml,81,1,1,workflow_dispatch,2
krahets_hello-algo__java.yml,14.2351,krahets/hello-algo,java.yml,29,1,3,"push, pull_request, workflow_dispatch",2
nodejs_node__test-macos.yml,13.7097,nodejs/node,test-macos.yml,100,1,2,"pull_request, push",3
freeCodeCamp_freeCodeCamp__crowdin-download.client-ui.yml,13.7003,freeCodeCamp/freeCodeCamp,crowdin-download.client-ui.yml,339,1,2,"workflow_dispatch, schedule",15
awslabs_amazon-ecr-credential-helper__new-pull-requests.yml,14.2555,awslabs/amazon-ecr-credential-helper,new-pull-requests.yml,27,1,1,pull_request_target,1
Chalarangelo_30-seconds-of-code__stale.yml,13.7696,Chalarangelo/30-seconds-of-code,stale.yml,32,1,1,schedule,1
krahets_hello-algo__go.yml,13.4859,krahets/hello-algo,go.yml,36,1,3,"push, pull_request, workflow_dispatch",2
facebook_react__runtime_build_and_test.yml,13.1127,facebook/react,runtime_build_and_test.yml,883,19,2,"push, pull_request",76
electron_electron__issue-transferred.yml,13.8137,electron/electron,issue-transferred.yml,27,1,1,issues,2
microsoft_TypeScript__pr-modified-files.yml,13.8154,microsoft/TypeScript,pr-modified-files.yml,135,1,1,pull_request_target,0
krahets_hello-algo__dart.yml,13.9462,krahets/hello-algo,dart.yml,36,1,3,"push, pull_request, workflow_dispatch",2
langgenius_dify__db-migration-test.yml,13.9972,langgenius/dify,db-migration-test.yml,57,1,1,pull_request,3
huggingface_transformers__check_failed_tests.yml,13.0789,huggingface/transformers,check_failed_tests.yml,205,1,1,workflow_call,3
langchain-ai_langchain__run_notebooks.yml,13.0045,langchain-ai/langchain,run_notebooks.yml,72,1,2,"workflow_dispatch, schedule",4
IBM_sarama__fvt-main.yml,13.1708,IBM/sarama,fvt-main.yml,50,1,2,"merge_group, push",1
vercel_next.js__test_examples.yml,12.9792,vercel/next.js,test_examples.yml,51,1,2,"workflow_dispatch, schedule",2
rust-lang_rust__post-merge.yml,13.1726,rust-lang/rust,post-merge.yml,53,1,1,push,1
nodejs_node__linters.yml,13.2239,nodejs/node,linters.yml,206,10,2,"pull_request, push",18
NVIDIA_cutlass__blossom-ci.yml,12.7359,NVIDIA/cutlass,blossom-ci.yml,112,4,2,"issue_comment, workflow_dispatch",2
facebook_watchman__getdeps_linux.yml,12.8347,facebook/watchman,getdeps_linux.yml,704,1,2,"push, pull_request",73
freeCodeCamp_freeCodeCamp__github-autoclose.yml,13.0242,freeCodeCamp/freeCodeCamp,github-autoclose.yml,71,1,1,pull_request_target,1
oracle_opengrok__javadoc.yml,13.0017,oracle/opengrok,javadoc.yml,44,1,1,push,4
facebook_folly__getdeps_windows.yml,13.4428,facebook/folly,getdeps_windows.yml,404,1,2,"push, pull_request",40
langgenius_dify__style.yml,13.4172,langgenius/dify,style.yml,183,4,1,pull_request,14
facebook_facebook-android-sdk__needs-attention.yml,13.0237,facebook/facebook-android-sdk,needs-attention.yml,18,1,1,issue_comment,2
huggingface_transformers__doctest_job.yml,12.8529,huggingface/transformers,doctest_job.yml,83,1,1,workflow_call,1
microsoft_TypeScript__copilot-setup-steps.yml,12.9753,microsoft/TypeScript,copilot-setup-steps.yml,22,1,1,workflow_dispatch,2
yangshun_tech-interview-handbook__lint.yml,12.9783,yangshun/tech-interview-handbook,lint.yml,44,1,1,pull_request,2
huggingface_transformers__benchmark.yml,13.0353,huggingface/transformers,benchmark.yml,76,1,2,"push, pull_request",1
Significant-Gravitas_AutoGPT__repo-stats.yml,13.0368,Significant-Gravitas/AutoGPT,repo-stats.yml,20,1,2,"schedule, workflow_dispatch",1
freeCodeCamp_freeCodeCamp__e2e-third-party.yml,14.5952,freeCodeCamp/freeCodeCamp,e2e-third-party.yml,170,3,2,"workflow_dispatch, push",12
microsoft_terminal__addToProject.yml,16.0767,microsoft/terminal,addToProject.yml,21,1,1,issues,1
google_blockly__browser_test.yml,14.0983,google/blockly,browser_test.yml,55,1,1,workflow_dispatch,2
facebook_react__compiler_discord_notify.yml,15.9665,facebook/react,compiler_discord_notify.yml,49,3,1,pull_request_target,2
electron_electron__pipeline-electron-build-and-test.yml,16.6994,electron/electron,pipeline-electron-build-and-test.yml,90,2,1,workflow_call,2
twbs_bootstrap__cspell.yml,15.6659,twbs/bootstrap,cspell.yml,36,1,3,"push, pull_request, workflow_dispatch",2
freeCodeCamp_freeCodeCamp__crowdin-upload.client-ui.yml,17.5259,freeCodeCamp/freeCodeCamp,crowdin-upload.client-ui.yml,50,1,2,"workflow_dispatch, schedule",3
microsoft_TypeScript__ci.yml,15.4774,microsoft/TypeScript,ci.yml,340,12,2,"push, pull_request",29
krahets_hello-algo__rust.yml,17.804,krahets/hello-algo,rust.yml,27,1,2,"push, pull_request",2
huggingface_transformers__doctests.yml,16.8504,huggingface/transformers,doctests.yml,89,3,3,"push, repository_dispatch, schedule",4
denoland_deno__post_publish.yml,17.0629,denoland/deno,post_publish.yml,34,1,1,release,4
electron_electron__pull-request-labeled.yml,17.7951,electron/electron,pull-request-labeled.yml,41,2,1,pull_request_target,3
langchain-ai_langchain___compile_integration_test.yml,18.7556,langchain-ai/langchain,_compile_integration_test.yml,52,1,1,workflow_call,2
vercel_next.js__integration_tests_reusable.yml,15.0141,vercel/next.js,integration_tests_reusable.yml,171,6,1,workflow_call,7
yt-dlp_yt-dlp__core.yml,15.1616,yt-dlp/yt-dlp,core.yml,66,1,2,"push, pull_request",2
electron_electron__stable-prep-items.yml,16.1636,electron/electron,stable-prep-items.yml,35,1,2,"schedule, workflow_dispatch",2
langchain-ai_langchain___test_pydantic.yml,17.5812,langchain-ai/langchain,_test_pydantic.yml,63,1,1,workflow_call,2
EbookFoundation_free-programming-books__detect-conflicting-prs.yml,15.8499,EbookFoundation/free-programming-books,detect-conflicting-prs.yml,73,1,3,"workflow_dispatch, push, pull_request_target",1
electron_electron__macos-publish.yml,15.4792,electron/electron,macos-publish.yml,103,5,1,workflow_dispatch,6
trekhleb_javascript-algorithms__CI.yml,14.0289,trekhleb/javascript-algorithms,CI.yml,35,1,2,"push, pull_request",3
vercel_next.js__rspack-nextjs-dev-integration-tests.yml,13.2305,vercel/next.js,rspack-nextjs-dev-integration-tests.yml,25,1,2,"schedule, workflow_dispatch",1
n8n-io_n8n__test-workflows-nightly.yml,13.3968,n8n-io/n8n,test-workflows-nightly.yml,26,1,2,"schedule, workflow_dispatch",1
alibaba_tengine__test-nginx-core.yml,13.0311,alibaba/tengine,test-nginx-core.yml,152,1,2,"push, pull_request",4
facebook_rocksdb__nightly.yml,12.9488,facebook/rocksdb,nightly.yml,147,10,2,"schedule, workflow_dispatch",33
jwasham_coding-interview-university__links_checker.yml,12.9252,jwasham/coding-interview-university,links_checker.yml,85,1,2,"workflow_dispatch, schedule",6
Significant-Gravitas_AutoGPT__classic-autogpts-ci.yml,12.3862,Significant-Gravitas/AutoGPT,classic-autogpts-ci.yml,76,1,4,"workflow_dispatch, schedule, push, pull_request",2
n8n-io_n8n__notify-pr-status.yml,13.7937,n8n-io/n8n,notify-pr-status.yml,27,1,2,"pull_request_review, pull_request",1
TheAlgorithms_Python__ruff.yml,12.8708,TheAlgorithms/Python,ruff.yml,16,1,2,"push, pull_request",2
facebook_react__shared_check_maintainer.yml,12.8375,facebook/react,shared_check_maintainer.yml,58,1,1,workflow_call,1
Significant-Gravitas_AutoGPT__platform-frontend-ci.yml,12.698,Significant-Gravitas/AutoGPT,platform-frontend-ci.yml,156,4,3,"push, pull_request, merge_group",11
electron_electron__pipeline-segment-node-nan-test.yml,12.9405,electron/electron,pipeline-segment-node-nan-test.yml,146,2,1,workflow_call,12
twbs_bootstrap__codeql.yml,12.816,twbs/bootstrap,codeql.yml,44,1,4,"push, pull_request, schedule, workflow_dispatch",4
nodejs_node__license-builder.yml,13.2698,nodejs/node,license-builder.yml,38,1,2,"schedule, workflow_dispatch",2
nodejs_node__label-flaky-test-issue.yml,13.2686,nodejs/node,label-flaky-test-issue.yml,52,1,1,issues,0
vercel_next.js__test-turbopack-rust-bench-test.yml,13.3466,vercel/next.js,test-turbopack-rust-bench-test.yml,69,1,1,workflow_call,3
facebook_facebook-ios-sdk__stale.yml,13.0138,facebook/facebook-ios-sdk,stale.yml,24,1,1,schedule,1
ossu_computer-science__delete-empty-issues.yml,13.7623,ossu/computer-science,delete-empty-issues.yml,35,1,1,issues,2
yt-dlp_yt-dlp__sanitize-comment.yml,13.7459,yt-dlp/yt-dlp,sanitize-comment.yml,17,1,1,issue_comment,1
huggingface_transformers__self-nightly-caller.yml,13.7532,huggingface/transformers,self-nightly-caller.yml,43,3,3,"repository_dispatch, schedule, push",3
langchain-ai_langchain__people.yml,14.4417,langchain-ai/langchain,people.yml,26,1,3,"schedule, push, workflow_dispatch",2
langchain-ai_langchain___test_release.yml,12.7456,langchain-ai/langchain,_test_release.yml,106,2,1,workflow_call,6
google_truth__ci.yml,13.2403,google/truth,ci.yml,82,3,2,"push, pull_request",7
n8n-io_n8n__benchmark-destroy-nightly.yml,13.7059,n8n-io/n8n,benchmark-destroy-nightly.yml,46,1,2,"schedule, workflow_dispatch",3
langchain-ai_langchain___test.yml,13.9399,langchain-ai/langchain,_test.yml,75,1,1,workflow_call,2
EbookFoundation_free-programming-books__rtl-ltr-linter.yml,13.5265,EbookFoundation/free-programming-books,rtl-ltr-linter.yml,101,1,1,pull_request,4
n8n-io_n8n__e2e-tests.yml,13.7964,n8n-io/n8n,e2e-tests.yml,70,3,2,"schedule, workflow_dispatch",2
excalidraw_excalidraw__locales-coverage.yml,13.3765,excalidraw/excalidraw,locales-coverage.yml,47,1,1,push,3
nodejs_node__close-stalled.yml,12.7933,nodejs/node,close-stalled.yml,36,1,1,schedule,1
facebook_react__runtime_prereleases.yml,13.2552,facebook/react,runtime_prereleases.yml,112,1,1,workflow_call,4
vuejs_vue__ci.yml,13.2495,vuejs/vue,ci.yml,93,4,2,"push, pull_request",12
krahets_hello-algo__swift.yml,13.3126,krahets/hello-algo,swift.yml,25,1,3,"push, pull_request, workflow_dispatch",1
airbnb_javascript__require-allow-edits.yml,13.5081,airbnb/javascript,require-allow-edits.yml,12,1,1,pull_request_target,1
freeCodeCamp_freeCodeCamp__github-no-web-commits.yml,13.2658,freeCodeCamp/freeCodeCamp,github-no-web-commits.yml,60,1,1,pull_request_target,2
google_blockly__welcome_new_contributors.yml,13.6394,google/blockly,welcome_new_contributors.yml,36,1,1,pull_request_target,1
nodejs_node__doc.yml,13.238,nodejs/node,doc.yml,43,1,2,"pull_request, push",3
excalidraw_excalidraw__publish-docker.yml,12.9316,excalidraw/excalidraw,publish-docker.yml,30,1,1,push,5
flutter_flutter__labeler.yml,13.3139,flutter/flutter,labeler.yml,22,1,1,pull_request_target,1
Genymobile_scrcpy__release.yml,13.1166,Genymobile/scrcpy,release.yml,514,15,1,workflow_dispatch,46
f_awesome-chatgpt-prompts__ai_bot.yml,14.5857,f/awesome-chatgpt-prompts,ai_bot.yml,623,1,4,"issues, issue_comment, pull_request_review_comment, pull_request",3
microsoft_vscode__monaco-editor.yml,13.166,microsoft/vscode,monaco-editor.yml,100,1,2,"push, pull_request",4
freeCodeCamp_freeCodeCamp__github-spam.yml,13.1192,freeCodeCamp/freeCodeCamp,github-spam.yml,23,1,1,pull_request_target,1
oracle_graal__micronaut.yml,12.824,oracle/graal,micronaut.yml,86,1,3,"pull_request, schedule, workflow_dispatch",3
facebook_react-native__needs-attention.yml,12.8783,facebook/react-native,needs-attention.yml,28,1,1,issue_comment,2
google_grr__publish-pypi.yml,12.5537,google/grr,publish-pypi.yml,228,9,1,release,27
Chalarangelo_30-seconds-of-code__test.yml,12.4586,Chalarangelo/30-seconds-of-code,test.yml,23,1,2,"push, pull_request",2
tensorflow_tensorflow__arm-ci-extended.yml,13.3814,tensorflow/tensorflow,arm-ci-extended.yml,65,1,2,"push, schedule",2
